(0.854252,0.080803)
(0.808662,0.132129)
(0.756182,0.176017)
(0.698097,0.211529)
(0.635671,0.237927)
(0.570338,0.254695)
(0.503569,0.261499)
(0.436873,0.258251)
(0.371726,0.245083)
(0.309636,0.222354)
(0.251956,0.190661)
(0.199992,0.150737)
(0.154908,0.103562)
(0.117669,0.050233)
(0.089141,-0.007980)
(0.069906,-0.069728)
(0.060398,-0.133584)
(0.060814,-0.198053)
(0.071137,-0.261659)
(0.091085,-0.322916)
(0.120201,-0.380422)
(0.157797,-0.432857)
(0.203047,-0.479012)
(0.254902,-0.517821)
(0.312174,-0.548378)
(0.373558,-0.569970)
(0.437695,-0.582114)
(0.503101,-0.584511)
(0.568325,-0.577078)
(0.631894,-0.559958)
(0.692370,-0.533496)
(0.748419,-0.498333)
(0.798761,-0.455183)
(0.842300,-0.405010)
(0.878050,-0.348917)
(0.905229,-0.288130)
(0.923225,-0.223996)
(0.931672,-0.157942)
(0.930367,-0.091387)
(0.919381,-0.025816)
(0.898951,0.037330)
(0.869570,0.096698)
(0.831926,0.150943)
(0.786850,0.198946)
(0.735370,0.239640)
(0.678679,0.272161)
(0.618043,0.295839)
(0.554834,0.310167)
(0.490468,0.314885)
(0.426406,0.309947)
(0.364116,0.295502)
(0.304944,0.271908)
(0.250254,0.239787)
(0.201264,0.199882)
(0.159087,0.153126)
(0.124607,0.100651)
(0.098665,0.043625)
(0.081765,-0.016557)
(0.074341,-0.078532)
(0.076498,-0.140888)
(0.088184,-0.202144)
(0.109142,-0.260920)
(0.138899,-0.315846)
(0.176739,-0.365654)
(0.221827,-0.409192)
(0.273134,-0.445465)
(0.329500,-0.473616)
(0.389652,-0.492976)
(0.452229,-0.503088)
(0.515810,-0.503713)
(0.578991,-0.494778)
(0.640305,-0.476526)
(0.698423,-0.449255)
(0.751988,-0.413599)
(0.799857,-0.370330)
(0.840915,-0.320391)
(0.874257,-0.264887)
(0.899118,-0.205009)
(0.914990,-0.142112)
(0.921480,-0.077540)
(0.918473,-0.012744)
(0.906034,0.050866)
(0.884458,0.111904)
(0.854240,0.169000)
(0.816043,0.220948)
(0.770765,0.266577)
(0.719403,0.304930)
(0.663157,0.335182)
(0.603247,0.356653)
(0.541061,0.368938)
(0.477983,0.371793)
(0.415427,0.365196)
(0.354808,0.349314)
(0.297518,0.324598)
(0.244809,0.291576)
(0.197876,0.251077)
(0.157789,0.204035)
(0.125411,0.151546)
(0.101510,0.094857)
(0.086589,0.035230)
(0.081004,-0.025930)
(0.084861,-0.087181)
(0.098068,-0.147158)
(0.120333,-0.204455)
(0.151154,-0.257740)
(0.189823,-0.305776)
(0.235471,-0.347478)
(0.287061,-0.381843)
(0.343464,-0.408075)
(0.403374,-0.425563)
(0.465429,-0.433868)
(0.528272,-0.432758)
(0.590441,-0.422262)
(0.650580,-0.402538)
(0.707294,-0.374027)
(0.759352,-0.337323)
(0.805555,-0.293235)
(0.844857,-0.242716)
(0.876373,-0.186864)
